id,dataset_id,url,filename,status,detail
83,b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,https://open.canada.ca/data/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d/resource/713d86d6-4bda-4900-8f90-e15b4a534a8d/download/resume-de-lanalyse-comparative-entre-les-sexes-plus-processus-decisionnel-automatise-pour-les-de.pdf,resume-de-lanalyse-comparative-entre-les-sexes-plus-processus-decisionnel-automatise-pour-les-de.pdf,ok,"906,109 bytes"
84,b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,https://open.canada.ca/data/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d/resource/7ec7d182-c020-49a5-a35c-9fbac7fa623f/download/f01253979-annex-b-aia-on-cuaet-automation-fr.pdf,f01253979-annex-b-aia-on-cuaet-automation-fr.pdf,ok,"67,553 bytes"
85,b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,https://open.canada.ca/data/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d/resource/880438b2-0c55-4ad3-98a5-9df8b9eb5496/download/gender-based-analysis-plus-summary-automate-the-review-of-non-complex-applications-for-temporary.pdf,gender-based-analysis-plus-summary-automate-the-review-of-non-complex-applications-for-temporary.pdf,ok,"209,746 bytes"
86,b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,https://open.canada.ca/data/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d/resource/d42a72a6-cd23-4a9b-a875-5654e22ed120/download/fr_peer-review-of-the-automation-to-process-cuaet-tr-applications-executive-summary.pdf,fr_peer-review-of-the-automation-to-process-cuaet-tr-applications-executive-summary.pdf,ok,"325,753 bytes"
87,b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,https://open.canada.ca/data/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d/resource/e5b61ba7-234a-41e0-8898-361841152bca/download/aia-on-cuaet-automation.json,aia-on-cuaet-automation.json,ok,"11,432 bytes"
88,b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,https://open.canada.ca/data/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d/resource/ec3f935c-2192-4ebd-b21b-4265a9d0e08a/download/f01253979-annex-a-aia-on-cuaet-automation-en.pdf,f01253979-annex-a-aia-on-cuaet-automation-en.pdf,ok,"62,535 bytes"
89,c088f841-2d79-4c7e-9281-cc65cbae1b06,https://open.canada.ca/data/dataset/c088f841-2d79-4c7e-9281-cc65cbae1b06/resource/67b0b587-107d-4c95-977c-e127fc7c527e/download/peer-review-assessment-report-summary_for-publication_tg_fr_final.pdf,peer-review-assessment-report-summary_for-publication_tg_fr_final.pdf,ok,"106,555 bytes"
90,c088f841-2d79-4c7e-9281-cc65cbae1b06,https://open.canada.ca/data/dataset/c088f841-2d79-4c7e-9281-cc65cbae1b06/resource/895872b9-390d-42d9-a795-f9f4f79ff52a/download/pact-aia_en.pdf,pact-aia_en.pdf,ok,"98,167 bytes"
91,c088f841-2d79-4c7e-9281-cc65cbae1b06,https://open.canada.ca/data/dataset/c088f841-2d79-4c7e-9281-cc65cbae1b06/resource/acfe70cb-a602-495b-896e-7b51fbaf9e23/download/peer-review-assessment-report-summary_for-publication.pdf,peer-review-assessment-report-summary_for-publication.pdf,ok,"102,995 bytes"
92,c088f841-2d79-4c7e-9281-cc65cbae1b06,https://open.canada.ca/data/dataset/c088f841-2d79-4c7e-9281-cc65cbae1b06/resource/e584032c-1011-470c-96fc-46612ae0aac3/download/pact-aia_fr.pdf,pact-aia_fr.pdf,ok,"110,805 bytes"
